bank.account,duration.in.month,credit.history,purpose,credit.amount,savings,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreigner,creditability
yes,28,existing credits paid back duly till now,car (new),4006,... < 1000,1 <= ... < 4 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,car or other-not included in savings,45,none,own,1,unskilled - resident,1,none,yes,bad
yes,24,existing credits paid back duly till now,furniture/equipment,3069,1000 <= ... < 5000,... >= 7 years,< 20,male : single,none,>= 7 years,unknown / no property,30,none,for free,1,skilled employee / official,1,none,yes,good
no,6,critical account/ other credits existing (other lender),radio/television,1740,... < 1000,... >= 7 years,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 years,real estate,30,none,rent,2,skilled employee / official,1,none,yes,good
yes,21,delay in paying off in the past,car (new),2353,... < 1000,1 <= ... < 4 years,>= 35,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,47,none,own,2,skilled employee / official,1,none,yes,good
no,15,existing credits paid back duly till now,car (new),3556,unknown/no savings,1 <= ... < 4 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,unknown / no property,29,none,own,1,skilled employee / official,1,none,yes,good
no,24,existing credits paid back duly till now,radio/television,2397,5000 <= ... < 10000,... >= 7 years,20 <= ... < 25,male : single,none,1 <= ... < 4 years,car or other-not included in savings,35,bank,own,2,skilled employee / official,1,registered under the customers name,yes,bad
yes,6,existing credits paid back duly till now,repairs,454,... < 1000,... < 1 year,20 <= ... < 25,male : married/widowed,none,< 1 year,building society savings agreement/ life insurance,22,none,own,1,unskilled - resident,1,none,yes,good
yes,30,existing credits paid back duly till now,radio/television,1715,unknown/no savings,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,< 1 year,car or other-not included in savings,26,none,own,1,skilled employee / official,1,none,yes,good
yes,27,critical account/ other credits existing (other lender),radio/television,2520,5000 <= ... < 10000,1 <= ... < 4 years,< 20,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,23,none,own,2,unskilled - resident,1,none,yes,bad
no,15,existing credits paid back duly till now,radio/television,3568,... < 1000,... >= 7 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,54,bank,rent,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
no,42,existing credits paid back duly till now,radio/television,7166,unknown/no savings,4 <= ... < 7 years,25 <= ... < 35,male : married/widowed,none,>= 7 years,building society savings agreement/ life insurance,29,none,rent,1,skilled employee / official,1,registered under the customers name,yes,good
yes,11,critical account/ other credits existing (other lender),car (new),3939,... < 1000,1 <= ... < 4 years,>= 35,male : single,none,1 <= ... < 4 years,real estate,40,none,own,2,unskilled - resident,2,none,yes,good
yes,15,existing credits paid back duly till now,repairs,1514,1000 <= ... < 5000,1 <= ... < 4 years,< 20,male : single,guarantor,1 <= ... < 4 years,real estate,22,none,own,1,skilled employee / official,1,none,yes,good
no,24,existing credits paid back duly till now,car (new),7393,... < 1000,1 <= ... < 4 years,>= 35,male : single,none,>= 7 years,building society savings agreement/ life insurance,43,none,own,1,unskilled - resident,2,none,yes,good
yes,24,all credits at this bank paid back duly,car (new),1193,... < 1000,unemployed,>= 35,female : divorced/separated/married,co-applicant,>= 7 years,unknown / no property,29,none,rent,2,unemployed/ unskilled - non-resident,1,none,yes,bad
yes,60,existing credits paid back duly till now,business,7297,... < 1000,... >= 7 years,< 20,male : single,co-applicant,>= 7 years,unknown / no property,36,none,rent,1,skilled employee / official,1,none,yes,bad
no,30,critical account/ other credits existing (other lender),radio/television,2831,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,1 <= ... < 4 years,car or other-not included in savings,33,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
yes,24,existing credits paid back duly till now,radio/television,1258,5000 <= ... < 10000,1 <= ... < 4 years,20 <= ... < 25,female : divorced/separated/married,none,4 <= ... < 7 years,car or other-not included in savings,57,none,own,1,unskilled - resident,1,none,yes,good
yes,6,existing credits paid back duly till now,radio/television,753,... < 1000,1 <= ... < 4 years,25 <= ... < 35,female : divorced/separated/married,guarantor,4 <= ... < 7 years,real estate,64,none,own,1,skilled employee / official,1,none,yes,good
yes,18,delay in paying off in the past,business,2427,unknown/no savings,... >= 7 years,< 20,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,42,none,own,2,skilled employee / official,1,none,yes,good
no,24,delay in paying off in the past,car (new),2538,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,47,none,own,2,unskilled - resident,2,none,yes,bad
yes,15,all credits at this bank paid back duly,car (new),1264,1000 <= ... < 5000,1 <= ... < 4 years,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 years,building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1,none,yes,bad
yes,30,critical account/ other credits existing (other lender),furniture/equipment,8386,... < 1000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,49,none,own,1,skilled employee / official,1,none,yes,bad
no,48,existing credits paid back duly till now,business,4844,... < 1000,unemployed,20 <= ... < 25,male : single,none,1 <= ... < 4 years,car or other-not included in savings,33,bank,rent,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,bad
yes,21,existing credits paid back duly till now,car (new),2923,1000 <= ... < 5000,1 <= ... < 4 years,>= 35,female : divorced/separated/married,none,< 1 year,car or other-not included in savings,28,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,36,existing credits paid back duly till now,car (used),8229,... < 1000,1 <= ... < 4 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,2,none,yes,bad
no,24,critical account/ other credits existing (other lender),furniture/equipment,2028,... < 1000,4 <= ... < 7 years,25 <= ... < 35,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,30,none,own,2,unskilled - resident,1,none,yes,good
yes,15,critical account/ other credits existing (other lender),furniture/equipment,1433,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,4 <= ... < 7 years,building society savings agreement/ life insurance,25,none,rent,2,skilled employee / official,1,none,yes,good
yes,42,no credits taken/ all credits paid back duly,business,6289,... < 1000,... < 1 year,25 <= ... < 35,female : divorced/separated/married,none,< 1 year,building society savings agreement/ life insurance,33,none,own,2,skilled employee / official,1,none,yes,good
no,13,existing credits paid back duly till now,radio/television,1409,1000 <= ... < 5000,unemployed,25 <= ... < 35,female : divorced/separated/married,none,>= 7 years,real estate,64,none,own,1,skilled employee / official,1,none,yes,good
yes,24,existing credits paid back duly till now,car (used),6579,... < 1000,unemployed,< 20,male : single,none,1 <= ... < 4 years,unknown / no property,29,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
yes,24,critical account/ other credits existing (other lender),radio/television,1743,... < 1000,... >= 7 years,< 20,male : single,none,1 <= ... < 4 years,building society savings agreement/ life insurance,48,none,own,2,unskilled - resident,1,none,yes,good
no,12,critical account/ other credits existing (other lender),education,3565,unknown/no savings,... < 1 year,25 <= ... < 35,male : single,none,< 1 year,building society savings agreement/ life insurance,37,none,own,2,unskilled - resident,2,none,yes,good
no,15,all credits at this bank paid back duly,radio/television,1569,1000 <= ... < 5000,... >= 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,34,bank,own,1,unskilled - resident,2,none,yes,good
yes,18,existing credits paid back duly till now,radio/television,1936,unknown/no savings,4 <= ... < 7 years,25 <= ... < 35,male : married/widowed,none,>= 7 years,car or other-not included in savings,23,none,rent,2,unskilled - resident,1,none,yes,good
yes,36,existing credits paid back duly till now,furniture/equipment,3959,... < 1000,unemployed,< 20,male : single,none,4 <= ... < 7 years,building society savings agreement/ life insurance,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
no,12,existing credits paid back duly till now,car (new),2390,unknown/no savings,... >= 7 years,< 20,male : single,none,4 <= ... < 7 years,car or other-not included in savings,50,none,own,1,skilled employee / official,1,registered under the customers name,yes,good
no,12,existing credits paid back duly till now,furniture/equipment,1736,... < 1000,4 <= ... < 7 years,20 <= ... < 25,female : divorced/separated/married,none,>= 7 years,real estate,31,none,own,1,unskilled - resident,1,none,yes,good
yes,30,existing credits paid back duly till now,car (used),3857,... < 1000,1 <= ... < 4 years,< 20,female : divorced/separated/married,none,>= 7 years,building society savings agreement/ life insurance,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,registered under the customers name,yes,good
no,12,existing credits paid back duly till now,radio/television,804,... < 1000,... >= 7 years,< 20,male : single,none,>= 7 years,car or other-not included in savings,38,none,own,1,skilled employee / official,1,none,yes,good
yes,45,existing credits paid back duly till now,radio/television,1845,... < 1000,1 <= ... < 4 years,< 20,male : single,none,>= 7 years,unknown / no property,23,none,for free,1,skilled employee / official,1,registered under the customers name,yes,bad
yes,45,critical account/ other credits existing (other lender),car (used),4576,1000 <= ... < 5000,unemployed,20 <= ... < 25,male : single,none,>= 7 years,car or other-not included in savings,27,none,own,1,skilled employee / official,1,none,yes,good
